seconds,hertz,word
1.140000,138.640000,
1.150000,138.640000,
1.160000,138.640000,
1.170000,138.640000,
1.180000,138.640000,
1.330000,138.640000,
1.340000,138.640000,
1.350000,134.700000,
1.360000,134.700000,
1.370000,134.700000,
1.380000,134.700000,
1.390000,134.700000,
1.400000,134.700000,
1.410000,134.700000,
1.420000,134.700000,
1.640000,142.700000,
1.650000,142.700000,
1.660000,142.700000,
1.670000,142.700000,
1.680000,142.700000,
1.740000,134.700000,
1.750000,134.700000,
1.760000,130.860000,
1.770000,130.860000,
1.780000,130.860000,
1.790000,130.860000,
1.800000,130.860000,
1.810000,130.860000,
1.820000,130.860000,
1.830000,130.860000,
1.840000,130.860000,
1.850000,130.860000,
2.000000,151.190000,
2.010000,151.190000,
2.020000,146.890000,
2.030000,142.700000,
2.040000,142.700000,
2.050000,138.640000,
2.060000,138.640000,
2.070000,138.640000,
2.080000,138.640000,
2.090000,138.640000,
2.100000,138.640000,
2.110000,138.640000,
2.120000,138.640000,
2.170000,142.700000,
2.180000,142.700000,
2.190000,142.700000,
2.200000,142.700000,
2.210000,142.700000,
2.220000,146.890000,
2.570000,185.070000,
2.580000,185.070000,
2.590000,190.490000,
2.600000,196.070000,
2.610000,201.820000,
2.620000,213.820000,
2.630000,220.080000,
2.640000,220.080000,
2.650000,226.530000,
2.660000,226.530000,
2.670000,226.530000,
2.680000,226.530000,
2.690000,226.530000,
2.700000,226.530000,
2.760000,226.530000,
2.770000,226.530000,
2.780000,226.530000,
2.790000,226.530000,
2.800000,213.820000,
2.810000,213.820000,
2.820000,207.730000,
2.830000,207.730000,
2.840000,201.820000,
2.850000,201.820000,
2.980000,233.170000,
2.990000,233.170000,
3.000000,226.530000,
3.010000,220.080000,
3.020000,213.820000,
3.030000,207.730000,
3.040000,207.730000,
3.050000,207.730000,
3.060000,207.730000,
3.070000,207.730000,
3.080000,207.730000,
3.090000,207.730000,
3.100000,201.820000,
3.110000,201.820000,
3.120000,196.070000,
3.130000,196.070000,
3.140000,190.490000,
3.150000,185.070000,
3.160000,179.800000,
3.390000,190.490000,
3.400000,190.490000,
3.410000,179.800000,
3.420000,179.800000,
3.430000,179.800000,
3.440000,179.800000,
3.540000,169.710000,
3.550000,169.710000,
3.560000,169.710000,
3.570000,169.710000,
3.580000,160.180000,
3.590000,160.180000,
3.600000,160.180000,
3.610000,160.180000,
3.620000,160.180000,
3.630000,160.180000,
3.770000,185.070000,
3.780000,179.800000,
3.790000,179.800000,
3.800000,174.680000,
3.810000,174.680000,
3.820000,174.680000,
3.830000,174.680000,
3.840000,174.680000,
3.850000,174.680000,
3.860000,169.710000,
3.870000,169.710000,
3.880000,169.710000,
3.890000,169.710000,
3.900000,169.710000,
3.910000,160.180000,
3.920000,160.180000,
